#Title: Galactic center X-ray sources (Muno+, 2009)
#INFO creator=Muno M.P.     First author or institution     
#INFO cites=bibcode:2009ApJS..181..110M     Article or Data origin sources     
#INFO reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/181/110     Dataset landing page     
#---Details of Columns:
#    CXOGC            (A15)   IAU name (HHMMSS.s-DDMMSS) [ucd=meta.id;meta.main]
#    RAJ2000 (deg)    (F9.5)  Right Ascension in degrees (J2000) [ucd=pos.eq.ra;meta.main]
#    DEJ2000 (deg)    (F9.5)  Declination in degrees (J2000) [ucd=pos.eq.dec;meta.main]
#    Sflux (ph/cm2/s) (E8.1)  Photon flux 0.5-2.0keV [ucd=phot.flux;em.X-ray]
#    Hflux (ph/cm2/s) (E8.1)  Photon flux 2-8keV [ucd=phot.flux;em.X-ray]
#--------------- --------- --------- -------- --------
#                RAJ2      DEJ2      Sflux (p Hflux (p
#CXOGC           000 (deg) 000 (deg) h/cm2/s) h/cm2/s)
#--------------- --------- --------- -------- --------
174457.1-285740 266.23813 -28.96121  6.8e-07 -1.9e-07
174457.4-285622 266.23941 -28.93967 -9.6e-09  8.2e-07
174459.1-290604 266.24620 -29.10122  1.9e-07  1.3e-06
174459.9-290324 266.24982 -29.05683  2.6e-08  2.4e-07
174459.9-290538 266.24994 -29.09415 -4.5e-08  1.0e-06
174500.2-290057 266.25113 -29.01598  1.5e-07 -1.1e-07
174500.6-290443 266.25244 -29.07895  3.2e-08  1.1e-06
174501.3-285501 266.25580 -28.91719  9.7e-07  1.6e-04
174501.4-290408 266.25598 -29.06908 -3.2e-08  1.2e-06
174501.7-290313 266.25732 -29.05367 -5.9e-08  8.7e-07
174501.8-290206 266.25760 -29.03520  2.3e-08  8.0e-07
174501.9-285719 266.25827 -28.95553  2.2e-07  3.2e-07
174502.2-285749 266.25946 -28.96381  1.6e-07  6.6e-07
174502.4-290205 266.26007 -29.03492  1.8e-07  3.2e-07
174502.4-290453 266.26039 -29.08160  3.3e-07 -4.0e-08
174502.5-290415 266.26077 -29.07086  5.6e-08  2.0e-07
174502.7-290127 266.26101 -29.02376 -7.5e-08  3.4e-07
174502.8-290429 266.26198 -29.07480  2.2e-07  2.6e-07
174502.9-285920 266.26222 -28.98968  6.8e-08  9.0e-07
174503.7-285805 266.26531 -28.96845  1.5e-08  1.1e-06
174503.8-290004 266.26584 -29.00112  1.7e-08  6.8e-07
174504.1-285902 266.26740 -28.98400  5.1e-08  1.2e-07
174504.2-285653 266.26758 -28.94817 -7.5e-08  1.0e-06
174504.2-290410 266.26764 -29.06977  2.1e-07 -1.2e-08
174504.2-290610 266.26841 -29.10258  1.9e-08  3.1e-07
174504.3-290207 266.26831 -29.03543  3.0e-08  4.2e-07
174504.5-285849 266.26853 -28.98031  1.7e-08  3.4e-07
174504.5-290003 266.26909 -29.00131  1.5e-08  1.6e-07
174504.6-290108 266.26936 -29.01891  2.3e-08  4.7e-07
174504.6-290429 266.26923 -29.07488 -7.1e-08  1.3e-06
174504.8-285410 266.26864 -28.90285  3.5e-07  5.4e-07
174504.8-285948 266.27041 -28.99659 -3.4e-08  4.9e-07
174504.9-285937 266.27078 -28.99362 -3.5e-08  2.5e-07
174505.1-290012 266.27153 -29.00348 -6.5e-08  6.3e-07
174505.2-285713 266.27162 -28.95399  5.3e-07 -1.2e-08
174505.2-290335 266.27176 -29.05988 -6.2e-08  6.1e-07
174505.3-285908 266.27223 -28.98588  4.7e-08  4.9e-08
174505.3-290220 266.27228 -29.03912  4.6e-08  1.3e-06
174505.4-290102 266.27274 -29.01748  5.2e-09  3.0e-07
174505.5-285933 266.27295 -28.99271 -1.3e-09  7.7e-07
174505.6-290136 266.27359 -29.02686  2.1e-08  3.5e-07
174505.8-285808 266.27454 -28.96893  5.8e-07 -2.5e-07
